ORF	contig	bin
Ga0187557_1001227	Ga0187557_1001	BWF2A
Ga0187557_1001228	Ga0187557_1001	BWF2A
Ga0187557_1001229	Ga0187557_1001	BWF2A
Ga0187557_1001230	Ga0187557_1001	BWF2A
Ga0187557_1001231	Ga0187557_1001	BWF2A
Ga0187557_1001232	Ga0187557_1001	BWF2A
Ga0187557_1001233	Ga0187557_1001	BWF2A
Ga0187557_1001234	Ga0187557_1001	BWF2A
Ga0187557_1001235	Ga0187557_1001	BWF2A
Ga0187557_1001236	Ga0187557_1001	BWF2A
Ga0187557_1001237	Ga0187557_1001	BWF2A
Ga0187557_1001238	Ga0187557_1001	BWF2A
Ga0187557_1001239	Ga0187557_1001	BWF2A
Ga0187557_1001240	Ga0187557_1001	BWF2A
Ga0187557_1001241	Ga0187557_1001	BWF2A
Ga0187557_1001242	Ga0187557_1001	BWF2A
Ga0187557_1001243	Ga0187557_1001	BWF2A
Ga0187557_1001244	Ga0187557_1001	BWF2A
Ga0187557_1001245	Ga0187557_1001	BWF2A
Ga0187557_1001246	Ga0187557_1001	BWF2A
Ga0187557_1001247	Ga0187557_1001	BWF2A
Ga0187557_1001248	Ga0187557_1001	BWF2A
Ga0187557_1001249	Ga0187557_1001	BWF2A
Ga0187557_1001250	Ga0187557_1001	BWF2A
Ga0187557_1001251	Ga0187557_1001	BWF2A
Ga0187557_1001252	Ga0187557_1001	BWF2A
Ga0187557_1001253	Ga0187557_1001	BWF2A
Ga0187557_1001254	Ga0187557_1001	BWF2A
Ga0187557_1001255	Ga0187557_1001	BWF2A
Ga0187557_1001256	Ga0187557_1001	BWF2A
Ga0187557_1001257	Ga0187557_1001	BWF2A
Ga0187557_1001258	Ga0187557_1001	BWF2A
Ga0187557_1001259	Ga0187557_1001	BWF2A
Ga0187557_1001260	Ga0187557_1001	BWF2A
Ga0187557_1001261	Ga0187557_1001	BWF2A
Ga0187557_1001262	Ga0187557_1001	BWF2A
Ga0187557_1001263	Ga0187557_1001	BWF2A
Ga0187557_1001264	Ga0187557_1001	BWF2A
Ga0187557_1001265	Ga0187557_1001	BWF2A
Ga0187557_1001266	Ga0187557_1001	BWF2A
Ga0187557_1001267	Ga0187557_1001	BWF2A
Ga0187557_1001268	Ga0187557_1001	BWF2A
Ga0187557_1001269	Ga0187557_1001	BWF2A
Ga0187557_1001270	Ga0187557_1001	BWF2A
Ga0187557_1001271	Ga0187557_1001	BWF2A
Ga0187557_1001272	Ga0187557_1001	BWF2A
Ga0187557_1001273	Ga0187557_1001	BWF2A
Ga0187557_1001274	Ga0187557_1001	BWF2A
Ga0187557_1001275	Ga0187557_1001	BWF2A
Ga0187557_1001276	Ga0187557_1001	BWF2A
Ga0187557_1001277	Ga0187557_1001	BWF2A
Ga0187557_1001278	Ga0187557_1001	BWF2A
Ga0187557_1001279	Ga0187557_1001	BWF2A
Ga0187557_1001280	Ga0187557_1001	BWF2A
Ga0187557_1001281	Ga0187557_1001	BWF2A
Ga0187557_1001282	Ga0187557_1001	BWF2A
Ga0187557_1001283	Ga0187557_1001	BWF2A
Ga0187557_1001284	Ga0187557_1001	BWF2A
Ga0187557_1001285	Ga0187557_1001	BWF2A
Ga0187557_1001286	Ga0187557_1001	BWF2A
Ga0187557_1001287	Ga0187557_1001	BWF2A
Ga0187557_1001288	Ga0187557_1001	BWF2A
Ga0187557_1001289	Ga0187557_1001	BWF2A
Ga0187557_1001290	Ga0187557_1001	BWF2A
Ga0187557_1001291	Ga0187557_1001	BWF2A
Ga0187557_1001292	Ga0187557_1001	BWF2A
Ga0187557_1001293	Ga0187557_1001	BWF2A
Ga0187557_1001294	Ga0187557_1001	BWF2A
Ga0187557_1001295	Ga0187557_1001	BWF2A
Ga0187557_1001296	Ga0187557_1001	BWF2A
Ga0187557_1001297	Ga0187557_1001	BWF2A
Ga0187557_1001298	Ga0187557_1001	BWF2A
Ga0187557_1001299	Ga0187557_1001	BWF2A
Ga0187557_1001300	Ga0187557_1001	BWF2A
Ga0187557_1001301	Ga0187557_1001	BWF2A
Ga0187557_1001302	Ga0187557_1001	BWF2A
Ga0187557_1001303	Ga0187557_1001	BWF2A
Ga0187557_1001304	Ga0187557_1001	BWF2A
Ga0187557_1001305	Ga0187557_1001	BWF2A
Ga0187557_1001306	Ga0187557_1001	BWF2A
Ga0187557_1001307	Ga0187557_1001	BWF2A
Ga0187557_1001308	Ga0187557_1001	BWF2A
Ga0187557_1001309	Ga0187557_1001	BWF2A
Ga0187557_1001310	Ga0187557_1001	BWF2A
Ga0187557_1001311	Ga0187557_1001	BWF2A
Ga0187557_1001312	Ga0187557_1001	BWF2A
Ga0187557_1001313	Ga0187557_1001	BWF2A
Ga0187557_1001314	Ga0187557_1001	BWF2A
Ga0187557_1001315	Ga0187557_1001	BWF2A
Ga0187557_1001316	Ga0187557_1001	BWF2A
Ga0187557_1001317	Ga0187557_1001	BWF2A
Ga0187557_1001318	Ga0187557_1001	BWF2A
Ga0187557_1001319	Ga0187557_1001	BWF2A
Ga0187557_1001320	Ga0187557_1001	BWF2A
Ga0187557_1001321	Ga0187557_1001	BWF2A
Ga0187557_1001322	Ga0187557_1001	BWF2A
Ga0187557_1001323	Ga0187557_1001	BWF2A
Ga0187557_1001324	Ga0187557_1001	BWF2A
Ga0187557_1001325	Ga0187557_1001	BWF2A
Ga0187557_1001326	Ga0187557_1001	BWF2A
Ga0187557_1001327	Ga0187557_1001	BWF2A
Ga0187557_1001328	Ga0187557_1001	BWF2A
Ga0187557_1001329	Ga0187557_1001	BWF2A
Ga0187557_1001330	Ga0187557_1001	BWF2A
Ga0187557_1001331	Ga0187557_1001	BWF2A
Ga0187557_1001332	Ga0187557_1001	BWF2A
Ga0187557_1001333	Ga0187557_1001	BWF2A
Ga0187557_1001334	Ga0187557_1001	BWF2A
Ga0187557_1001335	Ga0187557_1001	BWF2A
Ga0187557_1001336	Ga0187557_1001	BWF2A
Ga0187557_1001337	Ga0187557_1001	BWF2A
Ga0187557_1001338	Ga0187557_1001	BWF2A
Ga0187557_1001339	Ga0187557_1001	BWF2A
Ga0187557_1001340	Ga0187557_1001	BWF2A
Ga0187557_1001341	Ga0187557_1001	BWF2A
Ga0187557_1001342	Ga0187557_1001	BWF2A
Ga0187557_1001343	Ga0187557_1001	BWF2A
Ga0187557_1001344	Ga0187557_1001	BWF2A
Ga0187557_1001345	Ga0187557_1001	BWF2A
Ga0187557_1001346	Ga0187557_1001	BWF2A
Ga0187557_1001347	Ga0187557_1001	BWF2A
Ga0187557_1001348	Ga0187557_1001	BWF2A
Ga0187557_1001349	Ga0187557_1001	BWF2A
Ga0187557_1001350	Ga0187557_1001	BWF2A
Ga0187557_1001351	Ga0187557_1001	BWF2A
Ga0187557_1001352	Ga0187557_1001	BWF2A
Ga0187557_1001353	Ga0187557_1001	BWF2A
Ga0187557_1001354	Ga0187557_1001	BWF2A
Ga0187557_1001355	Ga0187557_1001	BWF2A
Ga0187557_1001356	Ga0187557_1001	BWF2A
Ga0187557_1001357	Ga0187557_1001	BWF2A
Ga0187557_1001358	Ga0187557_1001	BWF2A
Ga0187557_1001359	Ga0187557_1001	BWF2A
Ga0187557_1001360	Ga0187557_1001	BWF2A
Ga0187557_1001361	Ga0187557_1001	BWF2A
Ga0187557_1001362	Ga0187557_1001	BWF2A
Ga0187557_1001363	Ga0187557_1001	BWF2A
Ga0187557_1001364	Ga0187557_1001	BWF2A
Ga0187557_1001365	Ga0187557_1001	BWF2A
Ga0187557_1001366	Ga0187557_1001	BWF2A
Ga0187557_1001367	Ga0187557_1001	BWF2A
Ga0187557_1001368	Ga0187557_1001	BWF2A
Ga0187557_1001369	Ga0187557_1001	BWF2A
Ga0187557_1001370	Ga0187557_1001	BWF2A
Ga0187557_1001371	Ga0187557_1001	BWF2A
Ga0187557_1001372	Ga0187557_1001	BWF2A
Ga0187557_1001373	Ga0187557_1001	BWF2A
Ga0187557_1001374	Ga0187557_1001	BWF2A
Ga0187557_1001375	Ga0187557_1001	BWF2A
Ga0187557_1001376	Ga0187557_1001	BWF2A
Ga0187557_1001377	Ga0187557_1001	BWF2A
Ga0187557_1001378	Ga0187557_1001	BWF2A
Ga0187557_1001379	Ga0187557_1001	BWF2A
Ga0187557_1001380	Ga0187557_1001	BWF2A
Ga0187557_1001381	Ga0187557_1001	BWF2A
Ga0187557_1001382	Ga0187557_1001	BWF2A
Ga0187557_1001383	Ga0187557_1001	BWF2A
Ga0187557_1001384	Ga0187557_1001	BWF2A
Ga0187557_1001385	Ga0187557_1001	BWF2A
Ga0187557_1001386	Ga0187557_1001	BWF2A
Ga0187557_1001387	Ga0187557_1001	BWF2A
Ga0187557_1001388	Ga0187557_1001	BWF2A
Ga0187557_1001389	Ga0187557_1001	BWF2A
Ga0187557_10021	Ga0187557_1002	BWF2A
Ga0187557_10022	Ga0187557_1002	BWF2A
Ga0187557_10023	Ga0187557_1002	BWF2A
Ga0187557_10024	Ga0187557_1002	BWF2A
Ga0187557_10025	Ga0187557_1002	BWF2A
Ga0187557_10026	Ga0187557_1002	BWF2A
Ga0187557_10027	Ga0187557_1002	BWF2A
Ga0187557_10028	Ga0187557_1002	BWF2A
Ga0187557_10029	Ga0187557_1002	BWF2A
Ga0187557_100210	Ga0187557_1002	BWF2A
Ga0187557_100211	Ga0187557_1002	BWF2A
Ga0187557_100212	Ga0187557_1002	BWF2A
Ga0187557_100213	Ga0187557_1002	BWF2A
Ga0187557_100214	Ga0187557_1002	BWF2A
Ga0187557_100215	Ga0187557_1002	BWF2A
Ga0187557_100216	Ga0187557_1002	BWF2A
Ga0187557_100217	Ga0187557_1002	BWF2A
Ga0187557_100218	Ga0187557_1002	BWF2A
Ga0187557_100219	Ga0187557_1002	BWF2A
Ga0187557_100220	Ga0187557_1002	BWF2A
Ga0187557_100221	Ga0187557_1002	BWF2A
Ga0187557_100222	Ga0187557_1002	BWF2A
Ga0187557_100223	Ga0187557_1002	BWF2A
Ga0187557_100224	Ga0187557_1002	BWF2A
Ga0187557_100225	Ga0187557_1002	BWF2A
Ga0187557_100226	Ga0187557_1002	BWF2A
Ga0187557_100227	Ga0187557_1002	BWF2A
Ga0187557_100228	Ga0187557_1002	BWF2A
Ga0187557_100229	Ga0187557_1002	BWF2A
Ga0187557_100230	Ga0187557_1002	BWF2A
Ga0187557_100231	Ga0187557_1002	BWF2A
Ga0187557_100232	Ga0187557_1002	BWF2A
Ga0187557_100233	Ga0187557_1002	BWF2A
Ga0187557_100234	Ga0187557_1002	BWF2A
Ga0187557_100235	Ga0187557_1002	BWF2A
Ga0187557_100236	Ga0187557_1002	BWF2A
Ga0187557_100237	Ga0187557_1002	BWF2A
Ga0187557_100238	Ga0187557_1002	BWF2A
Ga0187557_100239	Ga0187557_1002	BWF2A
Ga0187557_100240	Ga0187557_1002	BWF2A
Ga0187557_100241	Ga0187557_1002	BWF2A
Ga0187557_100242	Ga0187557_1002	BWF2A
Ga0187557_100243	Ga0187557_1002	BWF2A
Ga0187557_100244	Ga0187557_1002	BWF2A
Ga0187557_100245	Ga0187557_1002	BWF2A
Ga0187557_100246	Ga0187557_1002	BWF2A
Ga0187557_100247	Ga0187557_1002	BWF2A
Ga0187557_100248	Ga0187557_1002	BWF2A
Ga0187557_100249	Ga0187557_1002	BWF2A
Ga0187557_100250	Ga0187557_1002	BWF2A
Ga0187557_100251	Ga0187557_1002	BWF2A
Ga0187557_100253	Ga0187557_1002	BWF2A
Ga0187557_100254	Ga0187557_1002	BWF2A
Ga0187557_100255	Ga0187557_1002	BWF2A
Ga0187557_100256	Ga0187557_1002	BWF2A
Ga0187557_100257	Ga0187557_1002	BWF2A
Ga0187557_100258	Ga0187557_1002	BWF2A
Ga0187557_100259	Ga0187557_1002	BWF2A
Ga0187557_100260	Ga0187557_1002	BWF2A
Ga0187557_100261	Ga0187557_1002	BWF2A
Ga0187557_100262	Ga0187557_1002	BWF2A
Ga0187557_100263	Ga0187557_1002	BWF2A
Ga0187557_100264	Ga0187557_1002	BWF2A
Ga0187557_100265	Ga0187557_1002	BWF2A
Ga0187557_100266	Ga0187557_1002	BWF2A
Ga0187557_100267	Ga0187557_1002	BWF2A
Ga0187557_100268	Ga0187557_1002	BWF2A
Ga0187557_100269	Ga0187557_1002	BWF2A
Ga0187557_100270	Ga0187557_1002	BWF2A
Ga0187557_100271	Ga0187557_1002	BWF2A
Ga0187557_100272	Ga0187557_1002	BWF2A
Ga0187557_100273	Ga0187557_1002	BWF2A
Ga0187557_100274	Ga0187557_1002	BWF2A
Ga0187557_100275	Ga0187557_1002	BWF2A
Ga0187557_100276	Ga0187557_1002	BWF2A
Ga0187557_100277	Ga0187557_1002	BWF2A
Ga0187557_100278	Ga0187557_1002	BWF2A
Ga0187557_100279	Ga0187557_1002	BWF2A
Ga0187557_100280	Ga0187557_1002	BWF2A
Ga0187557_100281	Ga0187557_1002	BWF2A
Ga0187557_100282	Ga0187557_1002	BWF2A
Ga0187557_100283	Ga0187557_1002	BWF2A
Ga0187557_100284	Ga0187557_1002	BWF2A
Ga0187557_100285	Ga0187557_1002	BWF2A
Ga0187557_100286	Ga0187557_1002	BWF2A
Ga0187557_100287	Ga0187557_1002	BWF2A
Ga0187557_100288	Ga0187557_1002	BWF2A
Ga0187557_100289	Ga0187557_1002	BWF2A
Ga0187557_100290	Ga0187557_1002	BWF2A
Ga0187557_100291	Ga0187557_1002	BWF2A
Ga0187557_100292	Ga0187557_1002	BWF2A
Ga0187557_100293	Ga0187557_1002	BWF2A
Ga0187557_100294	Ga0187557_1002	BWF2A
Ga0187557_100295	Ga0187557_1002	BWF2A
Ga0187557_100296	Ga0187557_1002	BWF2A
Ga0187557_100297	Ga0187557_1002	BWF2A
Ga0187557_100298	Ga0187557_1002	BWF2A
Ga0187557_100299	Ga0187557_1002	BWF2A
Ga0187557_1002100	Ga0187557_1002	BWF2A
Ga0187557_1002101	Ga0187557_1002	BWF2A
Ga0187557_1002102	Ga0187557_1002	BWF2A
Ga0187557_1002103	Ga0187557_1002	BWF2A
Ga0187557_1002104	Ga0187557_1002	BWF2A
Ga0187557_1002105	Ga0187557_1002	BWF2A
Ga0187557_1002106	Ga0187557_1002	BWF2A
Ga0187557_1002107	Ga0187557_1002	BWF2A
Ga0187557_1002108	Ga0187557_1002	BWF2A
Ga0187557_1002109	Ga0187557_1002	BWF2A
Ga0187557_1002110	Ga0187557_1002	BWF2A
Ga0187557_1002111	Ga0187557_1002	BWF2A
Ga0187557_1002112	Ga0187557_1002	BWF2A
Ga0187557_1002113	Ga0187557_1002	BWF2A
Ga0187557_1002114	Ga0187557_1002	BWF2A
Ga0187557_1002115	Ga0187557_1002	BWF2A
Ga0187557_1002116	Ga0187557_1002	BWF2A
Ga0187557_1002117	Ga0187557_1002	BWF2A
Ga0187557_1002118	Ga0187557_1002	BWF2A
Ga0187557_1002119	Ga0187557_1002	BWF2A
Ga0187557_1002120	Ga0187557_1002	BWF2A
Ga0187557_1002121	Ga0187557_1002	BWF2A
Ga0187557_1002122	Ga0187557_1002	BWF2A
Ga0187557_1002123	Ga0187557_1002	BWF2A
Ga0187557_1002124	Ga0187557_1002	BWF2A
Ga0187557_1002125	Ga0187557_1002	BWF2A
Ga0187557_1002126	Ga0187557_1002	BWF2A
Ga0187557_1002127	Ga0187557_1002	BWF2A
Ga0187557_1002128	Ga0187557_1002	BWF2A
Ga0187557_1002129	Ga0187557_1002	BWF2A
Ga0187557_1002130	Ga0187557_1002	BWF2A
Ga0187557_1002131	Ga0187557_1002	BWF2A
Ga0187557_1002132	Ga0187557_1002	BWF2A
Ga0187557_1002133	Ga0187557_1002	BWF2A
Ga0187557_1002134	Ga0187557_1002	BWF2A
Ga0187557_1002135	Ga0187557_1002	BWF2A
Ga0187557_1002136	Ga0187557_1002	BWF2A
Ga0187557_1002137	Ga0187557_1002	BWF2A
