Gene_group	CAZ_Domain	CAZ_group	Genome
Ga0196617_10003331	CBM50	CBM	RCLO1
Ga0196617_10003331	CBM50	CBM	RCLO1
Ga0196617_10003331	GH18	GH	RCLO1
Ga0196617_10003345	GH15	GH	RCLO1
Ga0196617_100035100	CBM4	CBM	RCLO1
Ga0196617_100035100	GH9	GH	RCLO1
Ga0196617_100035100	CBM3	CBM	RCLO1
Ga0196617_100035100	DOC1	DOC	RCLO1
Ga0196617_100035101	GH9	GH	RCLO1
Ga0196617_100035101	DOC1	DOC	RCLO1
Ga0196617_10003575	DOC1	DOC	RCLO1
Ga0196617_10003578	DOC1	DOC	RCLO1
Ga0196617_10003578	GH124	GH	RCLO1
Ga0196617_10003580	GH9	GH	RCLO1
Ga0196617_10003580	CBM3	CBM	RCLO1
Ga0196617_10003580	DOC1	DOC	RCLO1
Ga0196617_10003956	GH3	GH	RCLO1
Ga0196617_10003979	CBM50	CBM	RCLO1
Ga0196617_10004017	GH94	GH	RCLO1
Ga0196617_10004018	GH9	GH	RCLO1
Ga0196617_10004018	DOC1	DOC	RCLO1
Ga0196617_10004021	CBM3	CBM	RCLO1
Ga0196617_10004022	GH18	GH	RCLO1
Ga0196617_10004022	DOC1	DOC	RCLO1
Ga0196617_10004023	GH8	GH	RCLO1
Ga0196617_10004023	DOC1	DOC	RCLO1
Ga0196617_10004025	CBM3	CBM	RCLO1
Ga0196617_10004034	DOC1	DOC	RCLO1
Ga0196617_10004046	DOC1	DOC	RCLO1
Ga0196617_10004046	CBM35	CBM	RCLO1
Ga0196617_10004053	DOC1	DOC	RCLO1
Ga0196617_10004125	CBM25	CBM	RCLO1
Ga0196617_10004148	CBM35	CBM	RCLO1
Ga0196617_10004148	CE12	CE	RCLO1
Ga0196617_10004149	CE12	CE	RCLO1
Ga0196617_10004149	DOC1	DOC	RCLO1
Ga0196617_10004156	DOC1	DOC	RCLO1
Ga0196617_10004178	GH130	GH	RCLO1
Ga0196617_1000447	SLH	SLH	RCLO1
Ga0196617_1000447	SLH	SLH	RCLO1
Ga0196617_1000447	SLH	SLH	RCLO1
Ga0196617_10004476	SLH	SLH	RCLO1
Ga0196617_10004476	SLH	SLH	RCLO1
Ga0196617_10004476	SLH	SLH	RCLO1
Ga0196617_1000451	CBM6	CBM	RCLO1
Ga0196617_1000451	DOC1	DOC	RCLO1
Ga0196617_1000452	GH43	GH	RCLO1
Ga0196617_1000452	CBM6	CBM	RCLO1
Ga0196617_1000452	DOC1	DOC	RCLO1
Ga0196617_10004521	DOC1	DOC	RCLO1
Ga0196617_10004521	CBM35	CBM	RCLO1
Ga0196617_1000453	GH141	GH	RCLO1
Ga0196617_1000453	CBM6	CBM	RCLO1
Ga0196617_1000453	DOC1	DOC	RCLO1
Ga0196617_10004533	GH126	GH	RCLO1
Ga0196617_1000454	CE1	CE	RCLO1
Ga0196617_1000454	CBM6	CBM	RCLO1
Ga0196617_1000454	DOC1	DOC	RCLO1
Ga0196617_10004546	SLH	SLH	RCLO1
Ga0196617_10004546	SLH	SLH	RCLO1
Ga0196617_10004546	SLH	SLH	RCLO1
Ga0196617_1000455	GH43	GH	RCLO1
Ga0196617_1000455	CBM6	CBM	RCLO1
Ga0196617_1000455	DOC1	DOC	RCLO1
Ga0196617_10004553	CBM3	CBM	RCLO1
Ga0196617_10004553	GH5_1	GH	RCLO1
Ga0196617_10004553	DOC1	DOC	RCLO1
Ga0196617_1000458	CBM48	CBM	RCLO1
Ga0196617_1000458	GH13_9	GH	RCLO1
Ga0196617_1000459	CE9	CE	RCLO1
Ga0196617_10004620	GH3	GH	RCLO1
Ga0196617_10004621	CBM3	CBM	RCLO1
Ga0196617_10004621	CBM4	CBM	RCLO1
Ga0196617_10004635	GH43	GH	RCLO1
Ga0196617_10004635	CBM6	CBM	RCLO1
Ga0196617_10004635	CBM6	CBM	RCLO1
Ga0196617_10004635	DOC1	DOC	RCLO1
Ga0196617_10004637	CBM42	CBM	RCLO1
Ga0196617_10006310	GH5_37	GH	RCLO1
Ga0196617_10006312	CBM16	CBM	RCLO1
Ga0196617_10006312	CBM16	CBM	RCLO1
Ga0196617_1000635	GH9	GH	RCLO1
Ga0196617_1000635	DOC1	DOC	RCLO1
Ga0196617_10006355	GH9	GH	RCLO1
Ga0196617_10006355	CBM3	CBM	RCLO1
Ga0196617_10006355	DOC1	DOC	RCLO1
Ga0196617_10006356	GH9	GH	RCLO1
Ga0196617_10006356	CBM3	CBM	RCLO1
Ga0196617_10006356	CBM3	CBM	RCLO1
Ga0196617_10006356	DOC1	DOC	RCLO1
Ga0196617_1000636	CBM35	CBM	RCLO1
Ga0196617_1000636	GH26	GH	RCLO1
Ga0196617_1000636	DOC1	DOC	RCLO1
Ga0196617_1000638	SLH	SLH	RCLO1
Ga0196617_1000638	SLH	SLH	RCLO1
Ga0196617_1000638	SLH	SLH	RCLO1
Ga0196617_1000638	CBM54	CBM	RCLO1
Ga0196617_1000638	GH16	GH	RCLO1
Ga0196617_1000638	CBM4	CBM	RCLO1
Ga0196617_1000638	CBM4	CBM	RCLO1
Ga0196617_1000638	CBM4	CBM	RCLO1
Ga0196617_1000638	CBM4	CBM	RCLO1
Ga0196617_1000731	SLH	SLH	RCLO1
Ga0196617_1000731	SLH	SLH	RCLO1
Ga0196617_1000731	SLH	SLH	RCLO1
Ga0196617_10007316	GH94	GH	RCLO1
Ga0196617_10007916	CE1	CE	RCLO1
Ga0196617_10007916	CBM6	CBM	RCLO1
Ga0196617_10007916	DOC1	DOC	RCLO1
Ga0196617_10007916	GH10	GH	RCLO1
Ga0196617_1000831	DOC1	DOC	RCLO1
Ga0196617_10008321	CBM6	CBM	RCLO1
Ga0196617_1000954	CBM22	CBM	RCLO1
Ga0196617_1000954	GH10	GH	RCLO1
Ga0196617_1000954	DOC1	DOC	RCLO1
Ga0196617_1000961	CBM4	CBM	RCLO1
Ga0196617_1000961	GH9	GH	RCLO1
Ga0196617_10009628	DOC1	DOC	RCLO1
Ga0196617_1000968	GH5_1	GH	RCLO1
Ga0196617_1000968	DOC1	DOC	RCLO1
Ga0196617_1000969	CBM3	CBM	RCLO1
Ga0196617_10009710	SLH	SLH	RCLO1
Ga0196617_10009713	CBM50	CBM	RCLO1
Ga0196617_10009729	CBM50	CBM	RCLO1
Ga0196617_10010817	GH23	GH	RCLO1
Ga0196617_1001211	CBM42	CBM	RCLO1
Ga0196617_1001211	DOC1	DOC	RCLO1
Ga0196617_1001211	GH43	GH	RCLO1
Ga0196617_10012123	CBM35	CBM	RCLO1
Ga0196617_10012123	GH26	GH	RCLO1
Ga0196617_10012123	DOC1	DOC	RCLO1
Ga0196617_10012132	GH9	GH	RCLO1
Ga0196617_10012132	CBM3	CBM	RCLO1
Ga0196617_10012132	CBM3	CBM	RCLO1
Ga0196617_10012135	GH9	GH	RCLO1
Ga0196617_10012135	CBM3	CBM	RCLO1
Ga0196617_10012135	DOC1	DOC	RCLO1
Ga0196617_10012136	DOC1	DOC	RCLO1
Ga0196617_10012516	GH9	GH	RCLO1
Ga0196617_10012516	CBM3	CBM	RCLO1
Ga0196617_10012516	DOC1	DOC	RCLO1
Ga0196617_1001259	GH5_1	GH	RCLO1
Ga0196617_1001259	DOC1	DOC	RCLO1
Ga0196617_10012616	GH94	GH	RCLO1
Ga0196617_10012633	CBM50	CBM	RCLO1
Ga0196617_10012633	CBM50	CBM	RCLO1
Ga0196617_10012633	CBM50	CBM	RCLO1
Ga0196617_10012633	CBM50	CBM	RCLO1
Ga0196617_10012634	CBM50	CBM	RCLO1
Ga0196617_10012634	CBM50	CBM	RCLO1
Ga0196617_10012634	CBM50	CBM	RCLO1
Ga0196617_10012635	CBM50	CBM	RCLO1
Ga0196617_10012635	CBM50	CBM	RCLO1
Ga0196617_10012713	DOC1	DOC	RCLO1
Ga0196617_10012729	GH18	GH	RCLO1
Ga0196617_1001275	GH5_1	GH	RCLO1
Ga0196617_1001275	DOC1	DOC	RCLO1
Ga0196617_10012833	CBM3	CBM	RCLO1
Ga0196617_1001361	CE3	CE	RCLO1
Ga0196617_1001361	CE3	CE	RCLO1
Ga0196617_1001361	DOC1	DOC	RCLO1
Ga0196617_1001363	GH5_4	GH	RCLO1
Ga0196617_1001363	DOC1	DOC	RCLO1
Ga0196617_1001363	CE2	CE	RCLO1
Ga0196617_1001365	CBM34	CBM	RCLO1
Ga0196617_1001365	GH13_20	GH	RCLO1
Ga0196617_10013919	GH16	GH	RCLO1
Ga0196617_10013919	DOC1	DOC	RCLO1
Ga0196617_10013921	GH1	GH	RCLO1
Ga0196617_10014123	CE14	CE	RCLO1
Ga0196617_1001491	SLH	SLH	RCLO1
Ga0196617_1001491	SLH	SLH	RCLO1
Ga0196617_1001492	SLH	SLH	RCLO1
Ga0196617_1001492	SLH	SLH	RCLO1
Ga0196617_10015133	DOC1	DOC	RCLO1
Ga0196617_10015134	DOC1	DOC	RCLO1
Ga0196617_10019617	GH9	GH	RCLO1
Ga0196617_10019617	CBM3	CBM	RCLO1
Ga0196617_10019617	CBM3	CBM	RCLO1
Ga0196617_10019617	DOC1	DOC	RCLO1
Ga0196617_10021811	CE8	CE	RCLO1
Ga0196617_10021811	DOC1	DOC	RCLO1
Ga0196617_1002189	DOC1	DOC	RCLO1
Ga0196617_1002189	CBM35	CBM	RCLO1
Ga0196617_1002401	CBM3	CBM	RCLO1
Ga0196617_10024516	CE4	CE	RCLO1
Ga0196617_10024517	GH11	GH	RCLO1
Ga0196617_10024517	CBM6	CBM	RCLO1
Ga0196617_10024517	DOC1	DOC	RCLO1
Ga0196617_10024518	GH11	GH	RCLO1
Ga0196617_10024518	CBM6	CBM	RCLO1
Ga0196617_10024518	DOC1	DOC	RCLO1
Ga0196617_1005678	CE7	CE	RCLO1
Ga0196617_1006901	GH11	GH	RCLO1
Ga0196617_1008651	GH2	GH	RCLO1
Ga0196617_1008651	CBM6	CBM	RCLO1
Ga0196617_1000051	GH51	GH	CLOS1
Ga0196617_10000511	GH138	GH	CLOS1
Ga0196617_10000512	GH29	GH	CLOS1
Ga0196617_100005134	CE4	CE	CLOS1
Ga0196617_10000516	GH2	GH	CLOS1
Ga0196617_10000517	CE15	CE	CLOS1
Ga0196617_100005175	GH31	GH	CLOS1
Ga0196617_10000518	GH95	GH	CLOS1
Ga0196617_100005181	CBM25	CBM	CLOS1
Ga0196617_100005192	GH51	GH	CLOS1
Ga0196617_100005195	SLH	SLH	CLOS1
Ga0196617_100005195	SLH	SLH	CLOS1
Ga0196617_100005195	SLH	SLH	CLOS1
Ga0196617_10000520	GH42	GH	CLOS1
Ga0196617_100005203	GH2	GH	CLOS1
Ga0196617_100005248	CBM22	CBM	CLOS1
Ga0196617_100005248	CBM22	CBM	CLOS1
Ga0196617_100005248	GH10	GH	CLOS1
Ga0196617_100005248	CBM9	CBM	CLOS1
Ga0196617_10000534	GH35	GH	CLOS1
Ga0196617_10000543	GH130	GH	CLOS1
Ga0196617_1000055	GH36	GH	CLOS1
Ga0196617_1000056	GH36	GH	CLOS1
Ga0196617_10000567	GH13_31	GH	CLOS1
Ga0196617_10000568	GH36	GH	CLOS1
Ga0196617_1000057	GH105	GH	CLOS1
Ga0196617_10000579	GH10	GH	CLOS1
Ga0196617_1000058	GH3	GH	CLOS1
Ga0196617_10000586	GH43	GH	CLOS1
Ga0196617_1000059	GH31	GH	CLOS1
Ga0196617_100006118	GH43	GH	CLOS1
Ga0196617_100006212	CE8	CE	CLOS1
Ga0196617_100006227	GH10	GH	CLOS1
Ga0196617_100006228	GH30	GH	CLOS1
Ga0196617_100006228	CBM22	CBM	CLOS1
Ga0196617_10000638	GH18	GH	CLOS1
Ga0196617_10000669	GH88	GH	CLOS1
Ga0196617_100011180	GH3	GH	CLOS1
Ga0196617_10001122	GH36	GH	CLOS1
Ga0196617_10001149	GH31	GH	CLOS1
Ga0196617_10001539	GH67	GH	CLOS1
Ga0196617_10001577	CE4	CE	CLOS1
Ga0196617_10001596	CE15	CE	CLOS1
Ga0196617_10001596	SLH	SLH	CLOS1
Ga0196617_10001596	SLH	SLH	CLOS1
Ga0196617_10001596	SLH	SLH	CLOS1
Ga0196617_100018109	GH133	GH	CLOS1
Ga0196617_100018129	GH2	GH	CLOS1
Ga0196617_100018135	CE4	CE	CLOS1
Ga0196617_10001814	CBM50	CBM	CLOS1
Ga0196617_10001876	CE7	CE	CLOS1
Ga0196617_100020114	GH112	GH	CLOS1
Ga0196617_100020115	GH127	GH	CLOS1
Ga0196617_100020127	GH63	GH	CLOS1
Ga0196617_10002033	CBM48	CBM	CLOS1
Ga0196617_10002033	GH13_9	GH	CLOS1
Ga0196617_10002040	GH29	GH	CLOS1
Ga0196617_10002041	GH95	GH	CLOS1
Ga0196617_10002065	GH43	GH	CLOS1
Ga0196617_10002712	GH2	GH	CLOS1
Ga0196617_1000274	GH23	GH	CLOS1
Ga0196617_10002766	GH38	GH	CLOS1
Ga0196617_10002771	GH105	GH	CLOS1
Ga0196617_10002776	GH105	GH	CLOS1
Ga0196617_10002777	CE12	CE	CLOS1
Ga0196617_10002778	GH105	GH	CLOS1
Ga0196617_10002780	GH140	GH	CLOS1
Ga0196617_10002785	GH78	GH	CLOS1
Ga0196617_1000344	CE9	CE	CLOS1
Ga0196617_10003461	GH2	GH	CLOS1
Ga0196617_10003498	GH38	GH	CLOS1
Ga0196617_10003636	GH43	GH	CLOS1
Ga0196617_10003637	GH43	GH	CLOS1
Ga0196617_10003643	CE9	CE	CLOS1
Ga0196617_10003684	CBM50	CBM	CLOS1
Ga0196617_10003684	CBM50	CBM	CLOS1
Ga0196617_10003849	GH15	GH	CLOS1
Ga0196617_10003852	GH95	GH	CLOS1
Ga0196617_10003870	GH3	GH	CLOS1
Ga0196617_10003880	GH2	GH	CLOS1
Ga0196617_10005912	GH28	GH	CLOS1
Ga0196617_10005913	GH105	GH	CLOS1
Ga0196617_10005914	GH43	GH	CLOS1
Ga0196617_10005958	GH39	GH	CLOS1
Ga0196617_10005959	GH95	GH	CLOS1
Ga0196617_10006041	GH130	GH	CLOS1
Ga0196617_1000651	CBM50	CBM	CLOS1
Ga0196617_10006557	GH73	GH	CLOS1
Ga0196617_10006557	SLH	SLH	CLOS1
Ga0196617_10007036	CBM50	CBM	CLOS1
Ga0196617_10007036	CBM50	CBM	CLOS1
Ga0196617_10007036	GH18	GH	CLOS1
Ga0196617_10007049	GH94	GH	CLOS1
Ga0196617_1000758	GH1	GH	CLOS1
Ga0196617_10007748	GH4	GH	CLOS1
Ga0196617_10007750	CBM66	CBM	CLOS1
Ga0196617_10009212	GH13_18	GH	CLOS1
Ga0196617_10009249	GH2	GH	CLOS1
Ga0196617_1001112	GH42	GH	CLOS1
Ga0196617_10011120	GH3	GH	CLOS1
Ga0196617_10011122	GH130	GH	CLOS1
Ga0196617_10011128	GH88	GH	CLOS1
Ga0196617_10011129	GH88	GH	CLOS1
Ga0196617_10011135	GH78	GH	CLOS1
Ga0196617_10011136	GH3	GH	CLOS1
Ga0196617_10011620	GH43	GH	CLOS1
Ga0196617_10011624	GH105	GH	CLOS1
Ga0196617_1001205	GH4	GH	CLOS1
Ga0196617_10015018	GH51	GH	CLOS1
Ga0196617_1001561	DOC1	DOC	CLOS1
Ga0196617_10015626	GH4	GH	CLOS1
Ga0196617_1001563	GH4	GH	CLOS1
Ga0196617_1001793	GH120	GH	CLOS1
Ga0196617_10019216	CBM50	CBM	CLOS1
Ga0196617_10019216	CBM50	CBM	CLOS1
Ga0196617_10019218	GH18	GH	CLOS1
Ga0196617_10019320	CBM6	CBM	CLOS1
Ga0196617_1002039	SLH	SLH	CLOS1
Ga0196617_1002039	SLH	SLH	CLOS1
Ga0196617_1002039	SLH	SLH	CLOS1
Ga0196617_1002039	CBM54	CBM	CLOS1
Ga0196617_10022114	SLH	SLH	CLOS1
Ga0196617_10022114	SLH	SLH	CLOS1
Ga0196617_10022114	SLH	SLH	CLOS1
Ga0196617_10022114	GH18	GH	CLOS1
Ga0196617_1002911	GH23	GH	CLOS1
Ga0196617_10029410	GH10	GH	CLOS1
Ga0196617_1004705	GH35	GH	CLOS1
Ga0196617_1005975	CBM35	CBM	CLOS1
Ga0196617_1005975	GH26	GH	CLOS1
Ga0196617_1006694	GH115	GH	CLOS1
Ga0196617_1007811	CBM32	CBM	CLOS1
Ga0196617_1008071	GH43	GH	CLOS1
Ga0196617_1008072	GH43	GH	CLOS1
Ga0196617_1008533	GH130	GH	CLOS1
Ga0196617_1008534	GH26	GH	CLOS1
Ga0196617_1010211	GH4	GH	CLOS1
Ga0187557_100243	GH57	GH	BWF2A
Ga0187557_1002153	CE9	CE	BWF2A
Ga0187557_1002195	CE4	CE	BWF2A
Ga0187557_1002251	GH18	GH	BWF2A
Ga0187557_1003280	GH73	GH	BWF2A
Ga0187557_100472	GH13_m45	GH	BWF2A
Ga0187557_1004109	GH23	GH	BWF2A
Ga0187564_102275	GH73	GH	SW3C
Ga0187564_10322	CE9	CE	SW3C
Ga0187564_103147	GH57	GH	SW3C
Ga0187564_10471	GH13_m45	GH	SW3C
Ga0187564_104108	GH23	GH	SW3C
Ga0187564_10616	CE4	CE	SW3C
Ga0187564_10677	GH18	GH	SW3C
Ga0196617_1002048	SLH	SLH	COPR3
Ga0196617_1002048	SLH	SLH	COPR3
Ga0196617_1002048	SLH	SLH	COPR3
Ga0196617_1002048	CBM54	CBM	COPR3
Ga0196617_1002669	GH4	GH	COPR3
Ga0196617_1000499	GH23	GH	COPR1
Ga0196617_10006233	GH57	GH	COPR1
Ga0196617_10006234	GH57	GH	COPR1
Ga0196617_1000628	CE9	CE	COPR1
Ga0196617_10006619	GH23	GH	COPR1
Ga0196617_10006658	GH13_m45	GH	COPR1
Ga0196617_1001466	GH23	GH	COPR1
Ga0196617_10031312	CE4	CE	COPR1
Ga0196617_1005697	GH73	GH	COPR1
Ga0196617_1006112	CE4	CE	COPR1
Ga0196617_1009463	CE9	CE	COPR1
Ga0196617_100004229	CBM50	CBM	TISS1
Ga0196617_100007288	GH3	GH	TISS1
Ga0196617_100007296	CE4	CE	TISS1
Ga0196617_100010202	GH144	GH	TISS1
Ga0196617_100010202	GH94	GH	TISS1
Ga0196617_100012177	CBM50	CBM	TISS1
Ga0196617_10001250	CBM50	CBM	TISS1
Ga0196617_10001250	CBM50	CBM	TISS1
Ga0196617_10001250	CBM50	CBM	TISS1
Ga0196617_10001251	CBM50	CBM	TISS1
Ga0196617_10001251	CBM50	CBM	TISS1
Ga0196617_10001251	CBM50	CBM	TISS1
Ga0196617_10001251	CBM50	CBM	TISS1
Ga0196617_10002881	CE4	CE	TISS1
Ga0196617_10003113	GH18	GH	TISS1
Ga0196617_10004218	CBM50	CBM	TISS1
Ga0196617_10004240	CE4	CE	TISS1
Ga0196617_10005467	GH23	GH	TISS1
Ga0187557_1002248;Ga0187564_10674;Ga0196617_1003705	GH16	GH	COPR0
Ga0187557_100245;Ga0187557_1005123	GH57	GH	BWF2A
Ga0187557_100434;Ga0187564_10433	GH23	GH	COPR0
Ga0187564_101146;Ga0187557_1001161	GH23	GH	COPR0
Ga0196617_10006232;Ga0187564_103145	GH57	GH	COPR0
Ga0187557_1002249;Ga0187564_10675;Ga0196617_1003704	GH3	GH	COPR0
Ga0187557_1002314;Ga0187564_106139	GH13_39	GH	COPR0
Ga0187557_100244;Ga0187564_103146	GH57	GH	COPR0
Ga0187557_100270;Ga0187564_103120	CE9	CE	COPR0
Ga0196617_10009442;Ga0187564_10367	CBM66	CBM	COPR1
